City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,afaahiti,-17.75,-149.2833,298.08,85,100,4.71,PF,1712586949
1,port-aux-francais,-49.35,70.2167,279.96,86,41,12.63,TF,1712586903
2,holualoa,19.6228,-155.9522,294.06,83,100,3.6,US,1712586771
3,albany,42.6001,-73.9662,285.52,52,79,0.89,US,1712586385
4,iqaluit,63.7506,-68.5145,257.0,65,20,9.77,CA,1712586612
5,kidal,18.4411,1.4078,313.3,5,76,7.54,ML,1712586951
6,west island,-12.1568,96.8225,301.14,78,75,5.66,CC,1712586952
7,utrik,11.2278,169.8474,299.77,83,88,10.2,MH,1712586952
8,ola,59.5833,151.2833,270.45,87,100,7.5,RU,1712586953
9,rosso,16.4986,-15.8153,311.68,12,0,6.99,SN,1712586953
10,san antonio de pale,-1.4014,5.6325,300.82,76,100,3.54,GQ,1712586953
11,udachny,66.4167,112.4,260.62,81,20,3.33,RU,1712586954
12,flying fish cove,-10.4217,105.6791,299.97,83,40,3.09,CX,1712586955
13,lae,-6.7221,146.9847,297.44,91,100,4.12,PG,1712586955
14,remire-montjoly,4.9167,-52.2667,305.17,62,75,5.66,GF,1712586955
15,lesogorsk,56.0458,99.5136,270.33,77,23,0.45,RU,1712586956
16,ribeira grande,38.5167,-28.7,290.25,100,75,6.17,PT,1712586956
17,kargalinskaya,43.7417,46.4792,286.49,46,16,7.06,RU,1712586957
18,ushuaia,-54.8,-68.3,273.96,86,75,7.2,AR,1712586730
19,invercargill,-46.4,168.35,285.62,74,87,3.17,NZ,1712586684
20,blackmans bay,-43.0167,147.3167,281.22,80,20,0.89,AU,1712586894
21,abepura,-2.6333,140.5833,298.6,100,75,1.03,ID,1712586958
22,hadibu,12.65,54.0333,301.4,73,49,3.83,YE,1712586959
23,bethel,41.3712,-73.414,288.45,41,0,2.57,US,1712586907
24,onega,63.9061,38.1404,273.21,95,99,2.12,RU,1712586960
25,selfoss,63.9331,-20.9971,278.17,44,89,10.41,IS,1712586960
26,kenai,60.5544,-151.2583,270.45,93,0,1.54,US,1712586960
27,puerto ayora,-0.7393,-90.3518,302.13,94,38,0.45,EC,1712586961
28,aasiaat,68.7098,-52.8699,266.25,89,90,2.5,GL,1712586961
29,vila do maio,15.1333,-23.2167,299.59,74,17,9.09,CV,1712586962
30,nadym,65.5333,72.5167,268.13,94,95,4.82,RU,1712586962
31,ancud,-41.8697,-73.8203,285.0,68,53,2.53,CL,1712586963
32,susuman,62.7833,148.1667,263.14,91,100,1.34,RU,1712586963
33,saipan,15.1355,145.701,300.54,83,40,7.2,MP,1712586963
34,port mathurin,-19.6833,63.4167,299.96,81,16,4.67,MU,1712586964
35,dexter,36.7959,-89.9579,292.51,47,77,1.97,US,1712586964
36,vorgashor,67.5833,63.95,259.47,92,98,5.24,RU,1712586888
37,grytviken,-54.2811,-36.5092,275.91,84,90,4.11,GS,1712586898
38,santa cruz,-17.8,-63.1667,298.18,94,75,2.57,BO,1712586958
39,edinburgh of the seven seas,-37.0676,-12.3116,291.66,92,100,9.07,SH,1712586895
40,la romana,18.4273,-68.9728,304.35,74,40,0.0,DO,1712586966
